construction_type_name,u_w_per_m2_k,description_x,material_opaque_id_layers,description_y
BTAP-ExteriorDoor-Metal-1,2.4,Metal Door,146,"Metal Door 20 gauge, includes hardware"
BTAP-ExteriorDoor-Metal-1,2.2,Metal Door,146,"Metal Door 20 gauge, includes hardware"
BTAP-ExteriorDoor-Metal-1,1.6,Fibreglas Door,148,"Fibreglass Door, 3'-0"" x 7'-0', includes hardware"
BTAP-ExteriorOverheadDoor-Metal-1,2.4,Overhead Door,149,"Steel Overhead Rolling Door, 10'-0 x 10'-0'  includes hardware"
BTAP-ExteriorOverheadDoor-Metal-1,2.2,Overhead Door,149,"Steel Overhead Rolling Door, 10'-0 x 10'-0'  includes hardware"
BTAP-ExteriorOverheadDoor-Metal-1,1.6,Overhead Door,149,"Steel Overhead Rolling Door, 10'-0 x 10'-0'  includes hardware"
